"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"61","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 07:13:24,FALSE,NA,"917649247021002752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ydot_h",91,TRUE,FALSE,NA,NA
"62","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 07:12:30,FALSE,NA,"917649023137349632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","All_of_Fame",91,TRUE,FALSE,NA,NA
"63","RT @VitaMobClothing: Had to do it for @KingJames 1time. Sick color coordination <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> 

#shirts #casual #dressup #fashion #mensfashion #vitamob…",FALSE,0,NA,2017-10-10 07:00:27,FALSE,NA,"917645989493854208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VitaMobClothing",3,TRUE,FALSE,NA,NA
"64","RT @VitaMobClothing: Had to do it for @KingJames 1time. Sick color coordination <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> 

#shirts #casual #dressup #fashion #mensfashion #vitamob…",FALSE,0,NA,2017-10-10 06:59:42,FALSE,NA,"917645798686560256",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Dunking Nation PR</a>","promo_dn",3,TRUE,FALSE,NA,NA
"65","Had to do it for @KingJames 1time. Sick color coordination <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> 

#shirts #casual #dressup #fashion #mensfashion… https://t.co/y5U6ZUjgy5",FALSE,3,NA,2017-10-10 06:57:32,TRUE,NA,"917645256388235264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VitaMobClothing",3,FALSE,FALSE,NA,NA
"66","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 06:43:54,FALSE,NA,"917641825502023680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roidesclaquette",91,TRUE,FALSE,NA,NA
"67","RT @A_A_Ron_Rodgers: Christopher Columbus:
- Can't navigate properly
- Enslaved ppl

JR Smith:
- NBA champ
- Henny God
- Hall of fame diffi…",FALSE,0,NA,2017-10-10 06:16:35,FALSE,NA,"917634950203170816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WaveAtWinsto",6,TRUE,FALSE,NA,NA
"68","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 06:09:52,FALSE,NA,"917633258560655360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LyderickDel",91,TRUE,FALSE,NA,NA
"69","I liked a @YouTube video https://t.co/VhYupN63Ej NBA YoungBoy Pour One",FALSE,0,NA,2017-10-10 06:09:03,FALSE,NA,"917633052339310592",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","SoulSistersWrld",0,FALSE,FALSE,NA,NA
"70","NBA Youngboy Releases New Video For ""War Wit Us"" https://t.co/nBw1ccHCsn",FALSE,0,NA,2017-10-10 06:07:12,FALSE,NA,"917632589355257856",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","any_event_media",0,FALSE,FALSE,NA,NA
"71","This fucking headache Killing me fam <ed><U+00A0><U+00BE><ed><U+00B4><U+0095>",FALSE,0,NA,2017-10-10 06:00:58,FALSE,NA,"917631020698095616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nba_Lu1s",0,FALSE,FALSE,NA,NA
"72","Bro every team is cold https://t.co/qDLH3kvKkl",FALSE,1,NA,2017-10-10 06:00:25,FALSE,NA,"917630880474165248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SliKKHoov",0,FALSE,FALSE,NA,NA
"73","I liked a @YouTube video https://t.co/ICEzWR8Aau NBA 2K18 Review",FALSE,0,NA,2017-10-10 05:57:23,FALSE,NA,"917630117941334017",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","gatta1000",0,FALSE,FALSE,NA,NA
"74","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 05:56:45,FALSE,NA,"917629958549397504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Faadryy",91,TRUE,FALSE,NA,NA
"75","RT @HoustonRockets: Squad up 91-71 going to the 4th! #RunAsOne <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Don't miss the last quarter <ed><U+00A0><U+00BD><ed><U+00B2><U+00BB>: https://t.co/VBY18fapLu &amp; Facebook Live ht…",FALSE,0,NA,2017-10-10 05:51:22,FALSE,NA,"917628603206119424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JHernandeZ2308",53,TRUE,FALSE,NA,NA
"76","RT @HoustonRockets: Squad up 91-71 going to the 4th! #RunAsOne <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Don't miss the last quarter <ed><U+00A0><U+00BD><ed><U+00B2><U+00BB>: https://t.co/VBY18fapLu &amp; Facebook Live ht…",FALSE,0,NA,2017-10-10 05:48:53,FALSE,NA,"917627980490461184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Natandjorell",53,TRUE,FALSE,NA,NA
